distance_km,weight_kg,volume_l,urgency,hour,day_of_week,demand_score,price
19.29,14.9,51.6,same_day,18,2,1.27,764.85
25.86,16.4,30.7,same_day,20,4,1.31,929.35
13.0,0.9,59.4,same_day,16,6,1.0,419.33
44.78,17.5,65.0,normal,1,1,1.19,751.85
13.07,5.4,11.4,express,20,6,1.27,391.19
25.18,13.9,25.2,express,23,2,0.83,453.53
6.89,6.4,12.8,express,19,6,1.23,263.65
12.46,21.8,42.7,normal,6,5,0.6,165.1
27.67,17.3,35.1,same_day,21,5,1.29,998.51
20.92,9.8,71.5,normal,18,1,1.15,420.32
9.27,12.5,75.8,same_day,0,2,0.68,270.92
4.42,15.6,11.1,same_day,12,1,0.66,163.83
17.29,6.9,35.8,express,9,5,1.43,575.5
35.46,11.8,51.8,same_day,22,1,1.28,1255.19
14.35,0.6,37.0,same_day,17,2,1.36,602.39
4.1,10.4,72.7,normal,12,1,0.87,133.86
9.66,17.2,36.5,express,5,2,0.87,255.36
38.94,15.4,36.8,express,6,0,0.75,575.3
38.48,16.3,23.0,express,5,5,1.48,1193.26
1.97,4.8,38.5,normal,1,4,1.15,115.69
12.56,11.9,15.1,same_day,0,5,1.1,449.45
34.13,5.3,78.4,express,10,0,1.08,789.93
13.9,16.0,15.2,same_day,17,3,0.88,409.53
18.83,22.6,14.8,same_day,7,4,0.97,595.25
43.06,16.6,43.6,same_day,15,0,0.83,883.47
5.04,20.7,56.9,normal,4,1,1.19,224.91
20.71,7.2,58.5,normal,7,1,0.7,231.34
35.67,16.5,29.5,express,8,2,1.19,837.29
10.29,19.1,29.5,express,15,5,0.87,276.76
9.41,5.4,75.2,normal,3,4,1.01,203.92
41.2,18.2,44.0,express,14,2,0.9,780.61
40.25,7.6,5.6,normal,15,4,1.08,568.01
38.87,8.1,33.4,normal,6,4,0.84,466.11
24.29,20.9,4.8,express,2,4,1.36,727.82
9.05,17.0,14.8,same_day,13,0,0.91,327.14
1.76,0.7,77.4,same_day,20,2,0.52,106.82
29.33,22.8,49.5,same_day,6,6,1.39,1173.58
10.45,6.7,50.1,same_day,11,2,1.33,499.65
36.33,7.1,45.8,express,3,4,0.99,699.49
42.58,14.9,46.6,express,7,3,0.51,430.67
6.26,18.5,50.1,same_day,11,6,0.87,287.17
7.13,13.9,65.5,same_day,13,4,1.24,431.71
37.42,9.2,34.5,express,13,6,1.43,1104.34
39.67,7.7,53.3,normal,6,1,1.41,803.77
9.12,14.9,4.7,express,1,2,0.58,148.21
3.05,23.9,7.0,express,20,4,1.01,189.7
9.78,10.6,42.0,express,20,3,1.23,360.94
36.54,11.4,37.6,same_day,9,2,0.94,900.93
35.4,23.8,35.0,normal,0,2,1.35,714.91
23.1,6.9,68.2,normal,6,0,1.38,498.98
26.48,22.8,41.9,express,9,5,0.78,490.84
40.62,0.5,3.0,normal,8,0,0.52,287.06
7.82,22.9,27.3,express,18,2,0.82,229.03
29.94,4.6,9.4,express,8,5,0.89,503.94
35.66,10.2,69.3,express,22,0,1.09,812.16
36.81,2.2,61.6,normal,8,1,1.29,683.0
8.98,9.2,7.9,same_day,8,3,0.5,168.18
30.55,3.7,65.3,same_day,18,4,1.27,1012.68
26.69,18.1,78.9,express,19,2,1.32,859.61
20.88,0.9,54.4,normal,4,6,1.47,506.05
2.36,14.8,36.1,express,2,2,1.09,188.57
7.07,3.2,9.1,express,2,1,1.1,219.25
14.09,21.8,53.8,normal,21,4,0.62,172.17
33.91,18.1,74.6,express,8,0,1.45,1126.0
3.76,0.9,41.9,same_day,10,6,0.93,198.46
10.77,4.0,66.4,same_day,17,3,0.51,210.44
20.64,24.4,38.0,same_day,13,5,1.29,885.2
32.67,17.3,70.4,normal,19,2,1.16,565.47
33.04,1.5,19.7,normal,18,6,0.55,241.6
12.95,14.1,31.7,same_day,16,0,0.71,316.42
37.37,22.8,72.6,same_day,23,6,1.2,1230.34
36.02,17.7,78.9,same_day,19,2,0.55,541.27
3.45,1.2,41.3,same_day,16,3,0.52,107.12
42.29,14.6,7.3,normal,20,3,1.32,781.46
9.77,2.1,61.3,same_day,20,2,0.91,344.65
41.54,15.4,63.5,normal,21,4,1.43,898.99
24.04,10.1,73.8,same_day,2,0,1.36,986.44
23.26,18.1,29.7,express,6,3,1.46,801.6
5.82,8.3,67.5,express,13,5,1.33,311.28
23.85,21.8,1.8,same_day,19,3,0.83,540.76
22.66,14.2,48.2,normal,0,4,0.57,222.97
23.94,13.6,75.7,express,2,0,1.05,575.82
30.07,13.8,6.0,same_day,10,2,1.03,808.16
21.3,5.7,48.5,express,21,3,1.5,749.69
35.92,17.6,45.4,same_day,20,3,1.05,997.5
33.65,19.7,28.2,express,7,3,1.39,1019.48
3.1,10.7,42.6,same_day,1,5,0.72,162.13
34.88,14.5,69.0,express,11,4,1.05,778.25
4.2,14.6,28.4,normal,15,2,1.21,173.66
32.74,10.9,66.9,normal,8,1,1.38,661.73
39.63,12.3,8.1,same_day,13,5,1.3,1358.52
31.33,10.3,74.7,normal,20,2,0.96,486.82
41.56,4.6,53.0,same_day,7,3,1.31,1334.0
2.25,5.1,63.7,same_day,23,2,1.26,273.37
16.48,12.8,49.3,normal,8,2,1.38,404.06
19.05,10.8,8.6,same_day,15,2,1.36,743.93
29.15,5.2,46.8,express,1,3,0.51,312.53
