origin_lat,origin_lng,dest_lat,dest_lng,distance_km,duration_min,hour,day_of_week
18.9926,72.8291,19.0748,72.8826,12.92,14.05,7,5
18.9388,72.8354,19.0748,72.8826,18.7,20.35,19,6
19.0176,72.8562,18.9926,72.8291,5.08,5.97,16,5
19.0215,72.8424,19.1334,72.913,20.35,19.29,9,3
19.1998,72.8414,19.076,72.8777,21.24,18.3,10,6
18.9447,72.8274,19.0027,72.8025,7.95,10.01,9,4
18.9926,72.8291,19.2193,72.8378,31.7,28.11,3,2
19.076,72.8777,19.0215,72.8424,11.59,10.57,20,3
19.0748,72.8826,19.1334,72.913,9.6,13.29,15,6
19.1688,72.8591,18.9388,72.8354,28.42,24.61,22,6
19.0596,72.8341,19.076,72.8777,8.74,7.95,10,6
19.1998,72.8414,19.0215,72.8424,23.86,20.42,2,4
19.0215,72.8424,18.9388,72.8354,10.68,10.68,16,5
19.0021,72.819,19.0703,72.8692,10.56,13.03,10,5
19.0896,72.8656,19.1334,72.913,10.75,14.57,23,5
19.0027,72.8025,18.9926,72.8291,4.62,7.09,23,5
19.0021,72.819,19.2193,72.8378,30.04,27.99,1,6
19.1688,72.8591,18.9388,72.8354,28.42,24.61,21,1
19.0703,72.8692,19.0596,72.8341,9.77,10.44,21,6
19.0027,72.8025,19.076,72.8777,14.37,11.77,9,2
18.9926,72.8291,19.0896,72.8656,13.98,14.21,14,2
19.0748,72.8826,18.9388,72.8354,21.01,20.38,19,4
19.076,72.8777,19.1334,72.913,9.52,12.91,16,6
19.0703,72.8692,18.9447,72.8274,21.23,19.61,18,3
19.0896,72.8656,19.1136,72.8491,7.0,7.97,23,0
19.0215,72.8424,19.1998,72.8414,23.79,20.89,3,6
18.9926,72.8291,18.9388,72.8354,6.87,8.67,22,3
19.0176,72.8562,19.0021,72.819,6.78,7.84,1,4
19.0596,72.8341,19.076,72.8777,8.74,7.95,2,3
19.0896,72.8656,19.0748,72.8826,2.79,4.68,19,5
19.2193,72.8378,19.0596,72.8341,19.56,20.65,12,1
19.0703,72.8692,18.9447,72.8274,21.23,19.61,6,6
18.9447,72.8274,19.0176,72.8562,10.64,11.78,17,1
19.1136,72.8491,19.0896,72.8656,6.94,7.17,20,4
19.2193,72.8378,19.0703,72.8692,24.41,20.63,20,5
19.0748,72.8826,19.2193,72.8378,25.35,21.88,0,3
18.9926,72.8291,19.2193,72.8378,31.7,28.11,23,5
19.0896,72.8656,19.2193,72.8378,22.04,19.93,7,0
19.0748,72.8826,19.0176,72.8562,11.36,11.78,7,6
19.0176,72.8562,19.1688,72.8591,20.25,18.13,1,3
19.076,72.8777,18.9926,72.8291,14.68,13.97,16,2
19.2193,72.8378,19.0215,72.8424,27.23,22.79,15,4
19.2193,72.8378,19.0021,72.819,30.66,27.68,2,6
19.076,72.8777,19.0825,72.8821,1.14,1.76,6,5
19.0554,72.8781,19.2193,72.8378,28.47,26.0,13,6
19.1136,72.8491,19.0896,72.8656,6.94,7.17,1,5
19.1688,72.8591,19.2193,72.8378,9.92,9.82,17,0
19.0703,72.8692,18.9926,72.8291,16.05,14.99,23,1
19.0748,72.8826,19.0021,72.819,15.01,15.4,6,1
19.0825,72.8821,18.9447,72.8274,19.38,19.24,8,4
19.0554,72.8781,19.0215,72.8424,6.54,6.99,21,0
19.0748,72.8826,19.0896,72.8656,2.79,4.67,14,2
19.2193,72.8378,18.9388,72.8354,37.63,33.17,15,0
19.0021,72.819,18.9926,72.8291,2.83,4.02,13,3
19.1688,72.8591,19.1136,72.8491,7.04,7.29,0,4
19.1998,72.8414,18.9388,72.8354,34.26,30.81,14,6
19.0825,72.8821,19.0176,72.8562,10.54,11.59,13,5
19.0748,72.8826,19.076,72.8777,1.28,2.29,2,1
18.9447,72.8274,19.0896,72.8656,19.4,19.77,7,3
19.076,72.8777,19.1998,72.8414,22.03,19.65,15,6
18.9388,72.8354,19.0027,72.8025,9.2,12.21,5,1
19.0176,72.8562,19.0027,72.8025,10.97,12.57,23,6
19.1688,72.8591,18.9388,72.8354,28.42,24.61,11,4
19.0748,72.8826,19.0027,72.8025,20.85,19.15,17,4
19.0215,72.8424,18.9388,72.8354,10.68,10.68,22,4
19.0703,72.8692,18.9447,72.8274,21.23,19.61,7,3
19.2193,72.8378,18.9926,72.8291,31.64,27.59,8,0
19.0748,72.8826,19.0215,72.8424,11.57,10.51,1,0
19.0176,72.8562,19.1998,72.8414,25.89,23.58,9,5
19.0596,72.8341,19.0554,72.8781,8.16,9.6,3,4
19.1136,72.8491,19.1688,72.8591,7.39,8.04,4,5
18.9447,72.8274,19.0596,72.8341,14.74,15.71,15,6
19.0176,72.8562,19.2193,72.8378,29.23,25.88,7,1
19.0596,72.8341,19.1334,72.913,17.48,19.23,16,5
19.1688,72.8591,19.0703,72.8692,15.2,12.07,19,2
18.9388,72.8354,19.076,72.8777,17.92,18.88,13,5
19.0703,72.8692,19.0021,72.819,15.67,15.56,16,6
19.0027,72.8025,19.2193,72.8378,30.71,25.31,13,6
19.0703,72.8692,19.1136,72.8491,9.17,9.85,1,2
